timestamp,spot,gex_total,flip_point,dex_btc_total,dex_usd_total,vega_total,charmex_total,vannaex_total,volgaex_magnitud,call_wall,put_wall,resistencia_cercana,soporte_cercano,tipo_regimen,confianza_regimen,sesgo_score,sesgo_alineado,riesgo_aceleracion,snapshot_ts
2026-07-06 22:50:22.802524+00:00,64215.43,23865294.19750836,62980.88836637709,1582.9591400000002,101650401.84753022,20725.988417,-172.32216573503376,4.687517890870053,73928.4682767363,,,,,,,,,,
2026-07-06 23:01:13.334895+00:00,64211.08,23915289.742879186,62973.70105570385,1584.2670010000002,101727495.14257108,20113.853854,-169.0405222651045,4.579221652239665,73218.50617538085,,,,,,,,,,
2026-07-24 05:33:58.506487+00:00,65258.27,19291434.437279668,64906.92993340592,1640.5477299999995,107059306.71222706,18864.606752,-987.648229474247,11.513249214896536,68902.08322287166,65000.0,65000.0,65500.0,65000.0,RANGO / REVERSIÓN (long gamma),50.0,75.0,True,100.0,
2026-07-24 05:36:40.216337+00:00,65231.21,18121367.83869032,64902.86666890226,1599.745203,104353315.28338562,18908.700296,-942.1456486397084,11.03014387148254,66432.50924930965,65000.0,65000.0,65500.0,65000.0,RANGO / REVERSIÓN (long gamma),41.66666666666666,66.66666666666666,True,0.0,
,64831.84,64184468.969524994,,1666.4589239999998,108039598.32734014,35541.336584000004,-346.8904463162045,7.0762729457730895,133503.34905682376,65000.0,65000.0,,,RANGO / REVERSION (long gamma),75.0,75.0,True,,2026-07-30 23:47:55.953360+00:00
,65112.69,65921789.90000448,,2420.9112490000007,157632043.67364985,28474.064990000003,-72.32253825555517,-0.0437793555015719,103844.06666202364,65000.0,65000.0,,,RANGO / REVERSION (long gamma),75.0,15.0,False,,2026-07-31 01:28:02.320007+00:00
,64330.18,51500467.69078685,,780.5862140000004,50215251.65213855,13209.58975,-1313.7867653364724,7.556714189174145,48190.05777769638,64000.0,64000.0,,,RANGO / REVERSION (long gamma),65.0,50.0,True,,2026-07-31 05:22:00.011942+00:00
,63910.32,-5165213.685984485,,-65.87199100000001,-4209900.023847121,16071.302864,-144.18416917623867,10.536879037268664,66109.41992383098,65000.0,63000.0,,,TENDENCIA / EXPANSION (short gamma),25.0,-0.0,False,,2026-07-31 08:29:15.220138+00:00
,63770.18,-6975419.153193591,,-147.52812900000004,-9407895.341393225,17454.739357,-177.34868190511116,12.166889004691429,69928.43908516878,64000.0,63000.0,,,TENDENCIA / EXPANSION (short gamma),31.25,-1.875,False,,2026-07-31 11:51:08.119187+00:00
,63760.21,-6226349.468675095,,-130.29497300000003,-8307634.840424332,17185.291682000003,-196.6077576869681,12.380659051971945,69084.35237955335,64000.0,63000.0,,,TENDENCIA / EXPANSION (short gamma),31.25,-1.875,False,,2026-07-31 13:26:10.743441+00:00
